count,name
1,Baroness S'Bak
1,Cerebro
1,Paladin
1,Mysterio (Francis Klum)
1,Black Crow
1,Hedge Knight
1,Elite
1,Ultra-Adaptoid
1,Pixie
1,She-Hulk (Ultimate)
1,Tiger Shark
1,Sabretooth (Ultimate)
1,Humbug
1,Bart Rozum
1,Lockheed
1,Longshot (Ultimate)
1,Moon Knight (Ultimate)
1,Blob (Ultimate)
1,Mikhail Rasputin
1,Iron Fist (Wu Ao-Shi)
1,Belasco
1,Red Wolf
1,Doctor Faustus
1,Venus (Siren)
1,Sway
1,Iron Lad
1,Rhodey
1,Sally Floyd
1,Felicia Hardy
1,Catseye
1,Prodigy (David Alleyne)
1,John Wraith
1,Foggy Nelson
1,Tana Nile
1,Maverick (Chris Bradley)
1,Hypno-Hustler
1,Hiroim
1,Randall Flagg
1,Thor (Ultimate)
1,Nicolaos
1,Apocalypse (Ultimate)
1,Callisto (Age of Apocalypse)
1,Wendigo
1,Maelstrom
1,Speedball (Robert Baldwin)
1,Titania
1,Bishop (Ultimate)
1,Warlock (Technarchy)
1,Human Robot
1,Maverick (Christoph Nord)
1,Abyss (Age of Apocalypse)
1,Joseph
1,Hardball
1,Albion
1,Morg
1,Tyrannus
1,Northstar
1,Tony Stark
1,Korvac
1,Hellions (Squad)
1,Madame Web (Julia Carpenter)
1,Surtur
1,The Watchers
1,Armadillo
1,Okoye
1,Nightcrawler (Ultimate)
1,Vulture (Adrian Toomes)
1,Carrion (Malcolm McBride)
1,Shi'Ar
1,Sunfire
1,Liz Osborn
1,Grim Reaper
1,Dark Beast
1,Quicksilver (Age of Apocalypse)
1,Lizard (Ultimate)
1,Katie Power
1,Stature
1,Weapon Omega
1,Mastermind
1,Phantom Reporter
1,Rachel Grey
1,Marvex
1,Rictor
1,Justice
1,Illuminati
1,Shriek
1,Spectrum
1,Screwball
1,Ma Gnuci
1,Guardian
1,Thunderbird (John Proudstar)
1,Quake (Daisy Johnson)
1,Mother Askani
1,Quicksilver (Ultimate)
1,Deathstrike (Ultimate)
1,Sasquatch (Walter Langkowski)
1,Reavers (Ultimate)
1,Blur
1,Kate Bishop
1,Silvermane
1,Paper Doll
1,Professor X (Ultimate)
1,Hydro-Man
1,Jimmy Woo
1,Debra Whitman
1,Vulcan (Gabriel Summers)
